"","Exp_OTU","Domain","Phylum","Class","Order","Exp_Order_Mean"
"12","OTU137","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales",0.418049104180491
"35","OTU221","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales",0.39814200398142
"44","OTU250","Bacteria","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia",0.374917053749171
"2","OTU111","Bacteria","Bacteroidetes","Cytophagia","uncl_Cytophagia",0.368281353682814
"32","OTU215","Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3",0.338420703384207
"17","OTU142","Bacteria","Proteobacteria","Deltaproteobacteria","uncl_Deltaproteobacteria",0.326808228268082
"50","OTU292","Bacteria","Bacteroidetes","Cytophagia","Cytophagales",0.318513603185136
"88","OTU743","Bacteria","Planctomycetes","Planctomycetacia","uncl_Planctomycetacia",0.308560053085601
"43","OTU245","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales",0.293629727936297
"62","OTU387","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes",0.28865295288653
"42","OTU241","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria",0.282017252820173
