"","Survey_OTU","Domain","Phylum","Class","Order","Family","Survey_Family_Mean"
"88","OTU2272","Bacteria","Proteobacteria","Oligoflexia","uncl_Oligoflexia","uncl_Oligoflexia",0.00739790885776287
"13","OTU1214","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","uncl_Propionibacteriales",0.00616492404813573
"32","OTU1433","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae",0.00616492404813573
"38","OTU1534","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae",0.00616492404813573
"66","OTU1988","Bacteria","Verrucomicrobia","Opitutae","uncl_Opitutae","uncl_Opitutae",0.00616492404813573
"74","OTU2061","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae",0.00616492404813573
"181","OTU871","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",0.00616492404813573
"27","OTU1395","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae",0.00493193923850858
"33","OTU1458","Bacteria","Chloroflexi","Anaerolineae","Aggregatilineales","Aggregatilineaceae",0.00493193923850858
"80","OTU2168","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae",0.00493193923850858
"190","OTU983","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae",0.00493193923850858
"53","OTU1746","Bacteria","Bacteroidetes","Chitinophagia","uncl_Chitinophagia","uncl_Chitinophagia",0.00369895442888144
"71","OTU2021","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae",0.00369895442888144
"73","OTU2060","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae",0.00369895442888144
"172","OTU765","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","uncl_Micrococcales",0.00369895442888144
"185","OTU934","Bacteria","Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae","uncl_Nitrospirae",0.00369895442888144
"7","OTU1143","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Criblamydiaceae",0.00246596961925429
"24","OTU1323","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales",0.00246596961925429
"62","OTU1893","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae",0.00246596961925429
"63","OTU1917","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae",0.00246596961925429
"67","OTU1989","Bacteria","Actinobacteria","Nitriliruptoria","uncl_Nitriliruptoria","uncl_Nitriliruptoria",0.00246596961925429
"75","OTU2074","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",0.00246596961925429
"98","OTU2527","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",0.00246596961925429
"186","OTU937","Bacteria","Abditibacteriota","Abditibacteria","uncl_Abditibacteria","uncl_Abditibacteria",0.00246596961925429
"31","OTU1428","Bacteria","Planctomycetes","Phycisphaerae","uncl_Phycisphaerae","uncl_Phycisphaerae",0.00123298480962715
"48","OTU1664","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae",0.00123298480962715
"57","OTU1805","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae",0.00123298480962715
"65","OTU1967","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",0.00123298480962715
"91","OTU2331","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","uncl_Oceanospirillales",0.00123298480962715
"92","OTU2341","Bacteria","Firmicutes","Clostridia","uncl_Clostridia","uncl_Clostridia",0.00123298480962715
