"","Exp_OTU","Domain","Phylum","Class","Order","Family","Exp_Family_Mean"
"149","OTU695","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae",0.22063702720637
"72","OTU219","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncl_Rhizobiales",0.214001327140013
"35","OTU1554","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",0.209024552090246
"124","OTU483","Bacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria",0.205706702057067
"44","OTU173","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",0.194094226940942
"76","OTU226","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncl_Gaiellales",0.185799601857996
"106","OTU354","Bacteria","Firmicutes","uncl_Firmicutes","uncl_Firmicutes","uncl_Firmicutes",0.180822826808228
"171","OTU919","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae",0.179163901791639
"99","OTU312","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",0.17750497677505
"101","OTU321","Bacteria","Chloroflexi","Caldilineae","Caldilineales","uncl_Caldilineales",0.175846051758461
"116","OTU420","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I",0.1542800265428
"103","OTU329","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1","uncl_candidate_division_WPS-1",0.142667551426676
"122","OTU477","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","uncl_Nitrosomonadales",0.137690776376908
"145","OTU676","Bacteria","Deinococcus-Thermus","uncl_Deinococcus-Thermus","uncl_Deinococcus-Thermus","uncl_Deinococcus-Thermus",0.137690776376908
"119","OTU444","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",0.136031851360319
"126","OTU490","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae",0.126078301260783
"130","OTU515","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",0.109489051094891
"132","OTU521","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",0.107830126078301
"102","OTU325","Bacteria","Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi","uncl_Chloroflexi",0.106171201061712
