"","Exp_OTU","Domain","Phylum","Class","Order","Family","Genus","Exp_Genus_Mean"
"270","OTU957","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncl_Rhodanobacteraceae",0.0497677504976775
"276","OTU996","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas/Armatimonadetes_gp3",0.0497677504976775
"189","OTU444","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",0.0481088254810883
"263","OTU922","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",0.0481088254810883
"241","OTU758","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",0.046449900464499
"252","OTU841","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","uncl_Cellvibrionales","uncl_Cellvibrionales",0.046449900464499
"21","OTU1208","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",0.0447909754479098
"61","OTU1612","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus",0.0447909754479098
"185","OTU432","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","uncl_Armatimonadales","uncl_Armatimonadales",0.0447909754479098
"234","OTU74","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",0.0447909754479098
"74","OTU1733","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",0.0431320504313205
"183","OTU422","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","uncl_Patulibacteraceae",0.0431320504313205
"257","OTU891","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","uncl_Enterobacterales","uncl_Enterobacterales",0.0431320504313205
"262","OTU919","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Isosphaeraceae","Tundrisphaera",0.0431320504313205
"47","OTU1420","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncl_Rhodobacteraceae",0.0414731254147313
"44","OTU1398","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",0.039814200398142
"117","OTU2169","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",0.039814200398142
"201","OTU501","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter",0.039814200398142
"28","OTU1250","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",0.0381552753815528
"207","OTU541","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","uncl_Chitinophagales","uncl_Chitinophagales",0.0381552753815528
"240","OTU756","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","uncl_Ilumatobacteraceae",0.0381552753815528
"19","OTU12","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia",0.0364963503649635
"23","OTU1218","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",0.0364963503649635
"67","OTU169","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Limnoglobus",0.0364963503649635
"217","OTU632","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","uncl_Ectothiorhodospiraceae",0.0364963503649635
"36","OTU1320","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Gemmata",0.0348374253483743
